scenario,period,offset,n_cycles,total_score,planarity,quarter_anchor_orth_ratio,anchor_norm,fraction_samples_assigned,min_samples_per_cycle,coverage_duration_fraction,candidate_source,winding_median_abs,winding_min_abs,winding_max_abs,fraction_single_lap_cycles,winding_valid
clean_complete_cycles,1.0016666666666665,0.9703645833333332,5,0.999928909921529,1.0,0.9999965726316177,0.9996496906602186,0.831946755407654,100,0.8333333333333333,periodogram,0.9953647026854657,0.9920306175204692,0.9986984678300951,1.0,True
clean_complete_cycles,1.0016666666666665,0.6103906249999999,5,0.9999286449164063,1.0,0.9999965726163993,0.9996483656574326,0.831946755407654,100,0.8333333333333333,periodogram,0.99539075277609,0.9920566587703727,0.9987245039033745,1.0,True
clean_complete_cycles,1.0016666666666665,0.2504166666666666,5,0.9999283852645999,1.0,0.9999965726015476,0.9996470674206781,0.831946755407654,100,0.8333333333333333,periodogram,0.9954168028457775,0.9920827001778949,0.9987505397772716,1.0,True
clean_complete_cycles,1.0016666666666665,0.8608072916666665,5,0.9999251328985981,1.0,0.9999965724227703,0.9996308058588349,0.831946755407654,100,0.8333333333333333,periodogram,0.9958075504295727,0.9924733392575605,0.9991410530140823,1.0,True
clean_complete_cycles,1.0016666666666665,0.5008333333333332,5,0.9999249589023933,1.0,0.9999965724137854,0.9996299358912882,0.831946755407654,100,0.8333333333333333,periodogram,0.9958335999744546,0.9924993829974955,0.9991670855087174,1.0,True
clean_complete_cycles,1.0016666666666665,0.14085937499999998,5,0.9999247902598005,1.0,0.9999965724051672,0.9996290926912519,0.831946755407654,100,0.8333333333333333,periodogram,0.9958596494746728,0.9925254268713616,0.9991931177803286,1.0,True
clean_complete_cycles,1.0016666666666665,0.7512499999999999,5,0.9999229030625394,1.0,0.9999965723198985,0.9996196568328495,0.831946755407654,100,0.8333333333333333,periodogram,0.996250385669402,0.9929161001032352,0.9995835741467171,1.0,True
clean_complete_cycles,1.0016666666666665,0.3912760416666666,5,0.9999228200792886,1.0,0.9999965723171478,0.9996192419207212,0.831946755407654,100,0.8333333333333333,periodogram,0.9962764342652213,0.9929421459304203,0.999609602660968,1.0,True
clean_complete_cycles,1.0016666666666665,0.03130208333333333,5,0.9999227424498215,1.0,0.9999965723147639,0.9996188537769616,0.831946755407654,100,0.8333333333333333,periodogram,0.9963024827926547,0.9929681918678372,0.9996356309285773,1.0,True
clean_complete_cycles,2.98,0.0,2,0.9999129291051219,1.0,0.9997097636837393,1.006678524885636,0.9916805324459235,298,0.9916805324459235,autocorrelation,2.98013311764129,2.9801331176412895,2.9801331176412904,0.0,False
noisy_complete_cycles,1.0016666666666665,0.32867187499999995,5,0.9995410614970934,0.9991202584281069,0.9999364409434663,1.0129981137046193,0.8336106489184693,100,0.8333333333333333,periodogram,0.9950690944098913,0.9822312089362953,0.9995471173142229,1.0,True
noisy_complete_cycles,1.0016666666666665,0.5321354166666665,5,0.9995230584865554,0.9991006009623442,0.9999091933512778,1.0127680797186835,0.8336106489184693,100,0.8333333333333333,periodogram,1.0010762983569703,1.0002244563006182,1.0025468911600748,1.0,True
noisy_complete_cycles,1.0016666666666665,0.2504166666666666,5,0.9995194618997552,0.9991188874920699,0.9998667271790673,1.0186500766442905,0.831946755407654,100,0.8333333333333333,periodogram,0.9947586229138944,0.9908244881571867,1.003270801257605,1.0,True
noisy_complete_cycles,1.0016666666666665,0.8921093749999999,5,0.9994890636130987,0.9990770911291028,0.9998350601618246,1.0108134621253375,0.8336106489184693,100,0.8333333333333333,periodogram,0.9949458195349844,0.9887275782624161,1.004302650356809,1.0,True
noisy_complete_cycles,1.0016666666666665,0.4069270833333333,5,0.9994887468182925,0.9990997918541733,0.9997961696373526,1.012252370214288,0.8336106489184693,100,0.8333333333333333,periodogram,0.9959861840243581,0.9878415764387537,1.0032787545716224,1.0,True
noisy_complete_cycles,1.0016666666666665,0.4225781249999999,5,0.9994745234813609,0.9990980601979194,0.9997516446080041,1.0260729312609123,0.8336106489184693,100,0.8333333333333333,periodogram,0.9971792942575731,0.9880559388250167,1.0006556510725217,1.0,True
noisy_complete_cycles,1.0016666666666665,0.5477864583333333,5,0.9994586667597944,0.9991091805282801,0.9998286342370083,1.0024404450180746,0.8336106489184693,100,0.8333333333333333,periodogram,0.9986721101173044,0.9864924512768883,1.001184975215701,1.0,True
noisy_complete_cycles,1.0016666666666665,0.5790885416666666,5,0.9994532926066881,0.9990956046735538,0.9996849675663709,1.0065990333543848,0.8336106489184693,100,0.8333333333333333,periodogram,0.9929456086509745,0.9827513187714607,1.0052991875244985,1.0,True
noisy_complete_cycles,1.0016666666666665,0.8764583333333331,5,0.9994475858862131,0.9990774993179597,0.9996961207574442,1.005907342180543,0.8336106489184693,100,0.8333333333333333,periodogram,0.999153497704244,0.9840312698157818,1.0012817381167072,1.0,True
noisy_complete_cycles,1.0016666666666665,0.3599739583333333,5,0.9994386624177601,0.9991117163376444,0.9996093474964598,1.0074940594095914,0.8336106489184693,100,0.8333333333333333,periodogram,0.9947658767810155,0.9910286782672523,0.9973853601693605,1.0,True
phase_offset_start,2.99,0.0,2,0.9999453023927523,0.9998917388826197,0.9999981098381413,1.006365301017388,0.9185867895545314,299,0.9185867895545315,autocorrelation,2.990691120750047,2.988172121509098,2.9932101199909957,0.0,False
phase_offset_start,2.99,0.14015625,2,0.9999346340138893,0.9998899802123791,0.9999654796923325,1.0034502451355882,0.9185867895545314,299,0.9185867895545315,autocorrelation,2.9793602462759528,2.9772770397315815,2.981443452820324,0.0,False
phase_offset_start,2.99,0.46718750000000003,2,0.9999344311464805,0.9998883417726074,0.9999675342005894,1.0046856189547873,0.9185867895545314,299,0.9185867895545315,autocorrelation,2.988603913217238,2.9884696331309963,2.98873819330348,0.0,False
phase_offset_start,2.99,0.32703125,2,0.9999289485472802,0.9998883467443382,0.9999492505837039,0.9963414195035325,0.9185867895545314,299,0.9185867895545315,autocorrelation,2.986778941284739,2.9857100840152704,2.9878477985542085,0.0,False
phase_offset_start,2.99,0.37375,2,0.9999209698094407,0.9998888494969365,0.999921816869908,1.0039284558406183,0.9185867895545314,299,0.9185867895545315,autocorrelation,2.984959930616875,2.9831913748983254,2.986728486335424,0.0,False
phase_offset_start,2.99,0.23359375000000002,2,0.9999204966657561,0.9998893198924583,0.9999194557317566,1.0017043763065776,0.9185867895545314,299,0.9185867895545315,autocorrelation,2.984837549404947,2.9827913513296807,2.9868837474802135,0.0,False
phase_offset_start,2.99,0.0934375,2,0.9999199666980785,0.9998900166096321,0.9999165279775414,0.9985342037439809,0.9185867895545314,299,0.9185867895545315,autocorrelation,2.980940454463976,2.9799019803858986,2.9819789285420533,0.0,False
phase_offset_start,2.99,0.2803125,2,0.9999105770486125,0.9998877824540219,0.9998889527386721,0.9994920568722689,0.9185867895545314,299,0.9185867895545315,autocorrelation,2.9812017481999793,2.9797708509938765,2.982632645406082,0.0,False
phase_offset_start,2.99,0.04671875,2,0.9999078713866664,0.99989140279712,0.9998738999603547,1.0065651527611683,0.9185867895545314,299,0.9185867895545315,autocorrelation,2.9870701763923,2.9865817898816083,2.9875585629029917,0.0,False
phase_offset_start,2.99,0.186875,2,0.9999021264689232,0.9998898140289616,0.9998573981814747,1.0057806031041348,0.9185867895545314,299,0.9185867895545315,autocorrelation,2.98735629462323,2.986361002931934,2.9883515863145256,0.0,False
mild_phase_warp,1.0016666666666665,0.14085937499999998,5,0.9999431860353516,0.9999012139931593,0.9999752634625733,1.0652416022809832,0.831946755407654,100,0.8333333333333333,periodogram,0.9952890640445299,0.9931467998968789,0.9989287046164875,1.0,True
mild_phase_warp,1.0016666666666665,0.15651041666666665,5,0.9998652141199899,0.999900573012533,0.9997164253790778,1.0560127933081076,0.8336106489184693,100,0.8333333333333333,periodogram,0.9945293349849073,0.9919031062716942,1.0015186105395153,1.0,True
mild_phase_warp,1.0016666666666665,0.1252083333333333,5,0.9998603837000068,0.999900879189509,0.9996998136841743,1.0852637735561321,0.8336106489184693,100,0.8333333333333333,periodogram,0.9965122563495443,0.986744504449352,0.9999972204709902,1.0,True
mild_phase_warp,1.0016666666666665,0.10955729166666664,5,0.9997087580687789,0.9999009229349086,0.9991943220044155,1.0934488943028366,0.8336106489184693,100,0.8333333333333333,periodogram,0.9949440188637109,0.9900463278500667,1.0013086070667556,1.0,True
mild_phase_warp,1.0016666666666665,0.1721614583333333,5,0.9996409411198377,0.9999002335442337,0.9989694144924028,1.0398043314385528,0.8336106489184693,100,0.8333333333333333,periodogram,0.9966174036556387,0.9918715849743064,1.004709871111656,1.0,True
mild_phase_warp,1.0016666666666665,0.18781249999999997,5,0.9993440047832469,0.9999000941423327,0.9979798590402688,1.0217710937428706,0.8336106489184693,100,0.8333333333333333,periodogram,0.9974433557058876,0.9888587294304186,1.0011101947336598,1.0,True
mild_phase_warp,1.0016666666666665,0.09390624999999998,5,0.9992161797565084,0.9999008410501066,0.9975525307715174,1.103293018231576,0.8336106489184693,100,0.8333333333333333,periodogram,0.997323832202034,0.9920501803335597,1.0009455203167958,1.0,True
mild_phase_warp,1.0016666666666665,0.07825520833333333,5,0.9989349694141942,0.9999005871944957,0.9966155860564877,1.1227730827679863,0.8336106489184693,100,0.8333333333333333,periodogram,0.9965317204020562,0.9910128321226614,1.0038424960561958,1.0,True
mild_phase_warp,1.0016666666666665,0.20346354166666664,5,0.9986317364960945,0.9999001985386998,0.9956054574224819,1.008515202023156,0.8336106489184693,100,0.8333333333333333,periodogram,0.9950354093904565,0.9946086630048286,1.0017777542340658,1.0,True
mild_phase_warp,1.0016666666666665,0.06260416666666666,5,0.9984828820754349,0.9999004042037816,0.995108933245147,1.125941251230741,0.8336106489184693,100,0.8333333333333333,periodogram,0.9978545282708149,0.9931691087414148,1.0042288334259801,1.0,True
harmonic_ambiguity_candidate,1.0016666666666665,0.10955729166666664,5,0.999957555617176,0.9999190778744966,0.9999933889330925,1.0734396840502578,0.8336106489184693,100,0.8333333333333333,periodogram,0.9956370192339122,0.9939610791563723,1.0006814721725599,1.0,True
harmonic_ambiguity_candidate,1.0016666666666665,0.9077604166666665,5,0.9999534145319976,0.9999183034310379,0.9999808760549287,1.2138195309991304,0.8336106489184693,100,0.8333333333333333,periodogram,0.995247626555402,0.9928640019591979,1.0009216369063918,1.0,True
harmonic_ambiguity_candidate,1.0016666666666665,0.43822916666666656,5,0.9999492114918622,0.9999207421229915,0.9999628014345548,1.3732966318080229,0.8336106489184693,100,0.8333333333333333,periodogram,0.9954448551123669,0.9918047934252354,1.0008924989558234,1.0,True
harmonic_ambiguity_candidate,1.0016666666666665,0.8921093749999999,5,0.9999489263066705,0.9999183512245093,0.9999658356480527,1.1187573683189214,0.8336106489184693,100,0.8333333333333333,periodogram,0.9967969839787245,0.9935029776777067,0.9995387384649959,1.0,True
harmonic_ambiguity_candidate,1.0016666666666665,0.5321354166666665,5,0.9999455528366058,0.9999208305647802,0.9999504585140523,1.4460279833999354,0.8336106489184693,100,0.8333333333333333,periodogram,0.9968926951597522,0.9944814238749015,0.9994816804705551,1.0,True
harmonic_ambiguity_candidate,1.0016666666666665,0.06260416666666666,5,0.9999453709998565,0.9999189500712431,0.9999529865474497,1.3320831923567702,0.8336106489184693,100,0.8333333333333333,periodogram,0.9963891208247219,0.9940428676183363,1.0025161209264564,1.0,True
harmonic_ambiguity_candidate,1.0016666666666665,0.5790885416666666,5,0.9999453412523911,0.9999202493176362,0.9999507219785766,1.2566857841513313,0.8336106489184693,100,0.8333333333333333,periodogram,0.9967925808162612,0.991593107786031,0.9996594083825056,1.0,True
harmonic_ambiguity_candidate,1.0016666666666665,0.09390624999999998,5,0.9999432733339424,0.9999190366834318,0.9999458499740881,1.1694500923986844,0.8336106489184693,100,0.8333333333333333,periodogram,0.9954176449983747,0.9901299785115204,1.00298214555767,1.0,True
harmonic_ambiguity_candidate,1.0016666666666665,0.3912760416666666,5,0.9999414999280318,0.9999198580889382,0.9999385696118754,1.1192231137416282,0.831946755407654,100,0.8333333333333333,periodogram,0.9960854093317711,0.9901193708800817,1.0009178369748568,1.0,True
harmonic_ambiguity_candidate,1.0016666666666665,0.37562499999999993,5,0.9999410551516263,0.9999188193372334,0.9999388182766987,1.018311882671711,0.8336106489184693,100,0.8333333333333333,periodogram,0.9962324936998899,0.9907111386088855,1.0015371351994273,1.0,True
